,correlation,p_value
1,-0.009641125756749493,0.8794400021931917
2,0.15660023871334852,0.013176168088766801
3,0.012632315680401622,0.8424650364580952
4,-0.023454128672141073,0.7121019216503188
5,0.08826634313893646,0.1641234720186612
6,-0.10683079377398108,0.09189122685023432
7,0.01073110328575025,0.8659317954949731
8,-0.04405979006841412,0.4880008198583258
9,0.25274741097428466,5.2978925424694436e-05
10,0.15341723283061715,0.01518344785433165
11,0.03876636588616844,0.5417905089946429
12,-0.19967076488866387,0.0015073484874517744
13,-0.3146375196987976,3.783946565966621e-07
14,-0.12715641784851106,0.04457912455956824
15,0.03753066377581256,0.5547575491968852
16,-0.07141643177663066,0.26060133300545324
17,-0.05678758348222195,0.3712617158092867
18,0.052220640194719,0.4110177180759226
19,-0.07718676090936918,0.22393588536662248
20,-0.169445026450057,0.007249101595945787
21,-0.024570219152307775,0.6990518245906397
22,0.15701298896008653,0.012933765175899595
23,0.04089514450561495,0.5198103153312947
24,0.062055808905368076,0.3284635216486325
25,-0.0006556283266710324,0.9917704107120289
26,0.060135547285986225,0.34368023300542105
27,-0.0463122581433844,0.4660123081456898
28,-0.08266367348942028,0.19267451942928374
29,0.12649101954973416,0.04571580587527511
30,0.11123521042735787,0.07918740559451358
31,0.060163697633560706,0.34345397940152805
32,-0.11507105032834833,0.0693162334962132
33,-0.19628409634561955,0.0018185983792707255
34,-0.1233303841117043,0.05145160348407592
35,-0.20532590810013251,0.0010943498742782747
36,-0.1125129570114464,0.07578021214814273
37,-0.08366916112037127,0.18729988387502813
38,-0.0046096023590449925,0.9421886185053223
39,-0.07776005149437494,0.22050414441571126
40,-0.05926108561290015,0.35075564594642966
41,0.009767299219375983,0.8778744579880374
42,-0.1800393304010724,0.004293152458644262
43,-0.16874633768120445,0.007496477615603344
44,0.007474966648748985,0.9063854522518145
45,-0.01965311278354799,0.7571575539205501
46,-0.041200105129726564,0.5166993801803706
47,-0.2783330369957853,7.918789111818474e-06
48,-0.1527311198360941,0.015649631004638273
49,-0.3327552846652597,7.072549902876934e-08
50,-0.2686245374448629,1.6665565473708525e-05
51,-0.2905076757853721,2.9908452828174698e-06
52,-0.21570471418888804,0.0005947152805868607
53,-0.13045720005944791,0.039285025449213556
54,0.1700114639112736,0.007053922253733394
55,-0.2144457093719025,0.0006413676746053953
56,-0.13008053135638672,0.03986100075739582
57,0.08636948451797351,0.1734117188495269
58,0.032444605581547645,0.6096607258735812
59,-0.3478808755783226,1.6008728894395738e-08
60,-0.2064007930889747,0.0010287469872804782
61,-0.3108107052907661,5.318084675406711e-07
62,-0.13925750645222496,0.02769654972432268
